hallucination, cumulative_confidences, P_T_given_I_Q_Full, entropy_sum, cumulative_confidences2, P_T_given_I_Q_Full2, entropy_sum2 
False, [1.3924751662014167e-07], 1.3924751662014167e-07, 2.1967236248940435e-06,[2.5889137410811393e-07], 2.5889137410811393e-07, 3.925051833341627e-06
False, [1.7501443315975639e-07], 1.7501443315975639e-07, 2.721388260560384e-06,[1.2883762500475998e-07], 1.2883762500475998e-07, 2.0423854660931293e-06
False, [5.135870662004684e-07], 5.135870662004684e-07, 7.436240753074659e-06,None, None, None
False, [3.146466678233789e-07], 3.146466678233789e-07, 4.709334682181111e-06,None, None, None
False, [2.473780113259869e-08], 2.473780113259869e-08, 4.315294448011977e-07,[2.727543186781781e-07], 2.727543186781781e-07, 4.121086697805557e-06
False, [3.3971617873501356e-07], 3.3971617873501356e-07, 5.058635737004405e-06,None, None, None
False, [1.6039152050123244e-07], 1.6039152050123244e-07, 2.5078647083679914e-06,[1.4926354018623677e-07], 1.4926354018623677e-07, 2.344485754164981e-06
False, [1.228310785588982e-08], 1.228310785588982e-08, 2.2191580743970796e-07,[2.5658262180766303e-07], 2.5658262180766303e-07, 3.8923328479664276e-06
False, [1.2311806862069496e-07], 1.2311806862069496e-07, 1.9572324842043973e-06,[1.302363425909586e-07], 1.302363425909586e-07, 2.0631705160808635e-06
False, [1.7293228174505722e-08], 1.7293228174505722e-08, 3.072937220654523e-07,[1.8697711644815872e-07], 1.8697711644815872e-07, 2.895152538765971e-06
True, [1.7702262758487057e-08], 1.7702262758487057e-08, 3.141928805165423e-07,[1.0343542902799162e-08], 1.0343542902799162e-08, 1.8834703368463825e-07
False, [1.1459474612845733e-07], 1.1459474612845733e-07, 1.829839447487742e-06,[1.7430568099169032e-07], 1.7430568099169032e-07, 2.711068122005387e-06
False, [2.583211777735212e-07], 2.583211777735212e-07, 3.9169730943892175e-06,None, None, None
False, [1.5884041991992262e-07], 1.5884041991992262e-07, 2.4851393390316666e-06,[3.080795476423895e-07], 3.080795476423895e-07, 4.617508966939656e-06
False, [4.487757063659749e-07], 4.487757063659749e-07, 6.55817731728719e-06,None, None, None
False, [2.1422661510566978e-07], 2.1422661510566978e-07, 3.288177857554071e-06,None, None, None
False, [1.5643291639005613e-07], 1.5643291639005613e-07, 2.4498366290498475e-06,[2.0919584463879578e-07], 2.0919584463879578e-07, 3.215893038386138e-06
False, [2.39100314650184e-07], 2.39100314650184e-07, 3.6438902497919555e-06,None, None, None
False, [2.7891296205123374e-07], 2.7891296205123374e-07, 4.207947287716483e-06,None, None, None
False, [4.431320927895082e-07], 4.431320927895082e-07, 6.481292782725926e-06,None, None, None
False, [4.227554040087649e-07], 4.227554040087649e-07, 6.203090230588487e-06,None, None, None
False, [4.939046345159819e-07], 4.939046345159819e-07, 7.17049926542525e-06,None, None, None
False, [3.5915554796045176e-07], 3.5915554796045176e-07, 5.328208488253399e-06,None, None, None
False, [1.1926966258240786e-07], 1.1926966258240786e-07, 1.8997883217422214e-06,[4.6952358267187957e-07], 4.6952358267187957e-07, 6.840227943439298e-06
False, [2.809149872635113e-07], 2.809149872635113e-07, 4.236154107021597e-06,None, None, None
False, [2.9052183768979163e-07], 2.9052183768979163e-07, 4.37130958303177e-06,None, None, None
False, [5.212887810219192e-07], 5.212887810219192e-07, 7.5400181160846684e-06,None, None, None
False, [3.668345254143587e-07], 3.668345254143587e-07, 5.434402379178242e-06,None, None, None
False, [2.0596658422416818e-07], 2.0596658422416818e-07, 3.1694296806263853e-06,None, None, None
False, [3.489003130769359e-07], 3.489003130769359e-07, 5.186130336468251e-06,None, None, None
False, [3.4410989079585966e-07], 3.4410989079585966e-07, 5.119660042364337e-06,None, None, None
False, [5.44548141681642e-07], 5.44548141681642e-07, 7.852744045466654e-06,None, None, None
False, [4.533132606982485e-07], 4.533132606982485e-07, 6.61994217015172e-06,None, None, None
False, [1.5964883281210652e-07], 1.5964883281210652e-07, 2.4969853796156426e-06,[1.6451789796317621e-07], 1.6451789796317621e-07, 2.568248090338398e-06
False, [6.956346520953758e-07], 6.956346520953758e-07, 9.861597194828609e-06,None, None, None
False, [4.860485329689049e-07], 4.860485329689049e-07, 7.064213100958286e-06,None, None, None
False, [7.510218562518067e-07], 7.510218562518067e-07, 1.058937317320093e-05,None, None, None
False, [2.0615400933618384e-08], 2.0615400933618384e-08, 3.63065715982757e-07,[2.653078592291219e-07], 2.653078592291219e-07, 4.015876844746715e-06
True, [2.4251713517994716e-08], 2.4251713517994716e-08, 4.2349494841938856e-07,[8.360177430940976e-09], 8.360177430940976e-09, 1.5363753407622353e-07
False, [3.229977618618958e-07], 3.229977618618958e-07, 4.8259073906717265e-06,None, None, None
False, [5.678952117366657e-07], 5.678952117366657e-07, 8.165649700108177e-06,None, None, None
False, [5.050577680438229e-07], 5.050577680438229e-07, 7.321177172188781e-06,None, None, None
False, [3.024725180605637e-08], 3.024725180605637e-08, 5.219653124088096e-07,[4.878410333392614e-07], 4.878410333392614e-07, 7.0884751689153806e-06
False, [2.0611183862481664e-08], 2.0611183862481664e-08, 3.6299528169756243e-07,[3.60926021506e-07], 3.60926021506e-07, 5.352707110135596e-06
False, [3.6975030858482383e-07], 3.6975030858482383e-07, 5.47468294029929e-06,None, None, None
False, [9.888303501068198e-09], 9.888303501068198e-09, 1.8041716092611792e-07,[2.537321233037595e-07], 2.537321233037595e-07, 3.851907698298286e-06
False, [4.471909971132638e-07], 4.471909971132638e-07, 6.536595584282541e-06,None, None, None
False, [1.1115161227589935e-08], 1.1115161227589935e-08, 2.017421908394662e-07,[1.858269325000743e-07], 1.858269325000743e-07, 2.8784795894159097e-06
False, [2.465533679358284e-07], 2.465533679358284e-07, 3.749957396344705e-06,None, None, None
False, [3.6460526863518473e-07], 3.6460526863518473e-07, 5.403590320748366e-06,None, None, None
True, [2.9619084066009766e-08], 2.9619084066009766e-08, 5.117088044299956e-07,[1.986930441571769e-08], 1.986930441571769e-08, 3.505906195497685e-07
True, [2.4278715918310456e-08], 2.4278715918310456e-08, 4.2394152338257385e-07,[4.005341383614309e-09], 4.005341383614309e-09, 7.551226343550176e-08
False, [3.726944281995907e-07], 3.726944281995907e-07, 5.515331624282456e-06,None, None, None
