hallucination, cumulative_confidences, P_T_given_I_Q_Full, entropy_sum, cumulative_confidences2, P_T_given_I_Q_Full2, entropy_sum2 
False, [3.393111977973402e-07], 3.393111977973402e-07, 5.053008103196472e-06,None, None, None
True, [3.393867053230459e-08], 3.393867053230459e-08, 5.819815066166316e-07,[4.4642920388720045e-09], 4.4642920388720045e-09, 8.391292033945962e-08
False, [6.750546059836574e-07], 6.750546059836574e-07, 9.590073790203253e-06,None, None, None
False, [2.0523946978098714e-08], 2.0523946978098714e-08, 3.61538040727817e-07,[1.9712561360190898e-07], 1.9712561360190898e-07, 3.0419621210232193e-06
False, [2.5568151151017234e-07], 2.5568151151017234e-07, 3.879556938987203e-06,None, None, None
False, [1.7147244867626584e-07], 1.7147244867626584e-07, 2.6697845122738648e-06,[3.88799646691748e-07], 3.88799646691748e-07, 5.737285175423271e-06
False, [2.7780184374276115e-07], 2.7780184374276115e-07, 4.192286386447498e-06,None, None, None
False, [2.3295721795218714e-07], 2.3295721795218714e-07, 3.556291140184044e-06,None, None, None
False, [3.896905820172629e-07], 3.896905820172629e-07, 5.749543834056716e-06,None, None, None
False, [2.9934501632194734e-07], 2.9934501632194734e-07, 4.495159593480275e-06,None, None, None
False, [2.6278904207427135e-07], 2.6278904207427135e-07, 3.980241839406696e-06,None, None, None
False, [5.080832590126894e-07], 5.080832590126894e-07, 7.362008596832369e-06,None, None, None
False, [4.104422384105216e-07], 4.104422384105216e-07, 6.034505526142986e-06,None, None, None
False, [3.011401314895716e-07], 3.011401314895716e-07, 4.520325330362852e-06,None, None, None
False, [6.849009093118889e-07], 6.849009093118889e-07, 9.720058400386554e-06,None, None, None
True, [4.907258421010527e-08], 4.907258421010527e-08, 8.242068941064172e-07,[1.8011663263703288e-08], 1.8011663263703288e-08, 3.194051914946161e-07
False, [3.7733833656855256e-07], 3.7733833656855256e-07, 5.579401627329794e-06,None, None, None
False, [1.9029333308278867e-07], 1.9029333308278867e-07, 2.9431845997077627e-06,[3.23667917348555e-07], 3.23667917348555e-07, 4.83525263725272e-06
False, [3.235640075788773e-07], 3.235640075788773e-07, 4.833803717622773e-06,None, None, None
False, [3.0851314924145997e-07], 3.0851314924145997e-07, 4.623576149798904e-06,None, None, None
False, [2.969257035718126e-07], 2.969257035718126e-07, 4.461226176423562e-06,None, None, None
False, [9.98445853986393e-07], 9.98445853986393e-07, 1.3794210468415945e-05,None, None, None
False, [2.608374085528134e-07], 2.608374085528134e-07, 3.952614478709939e-06,None, None, None
False, [2.5812095563790136e-08], 2.5812095563790136e-08, 4.492526005112205e-07,[4.312059740302882e-07], 4.312059740302882e-07, 6.318582291506834e-06
False, [1.8834177061560472e-07], 1.8834177061560472e-07, 2.9149252478186917e-06,[2.556965750161704e-07], 2.556965750161704e-07, 3.8797705349064664e-06
False, [4.3354894606889253e-07], 4.3354894606889253e-07, 6.3505736988719915e-06,None, None, None
False, [4.229624277402557e-07], 4.229624277402557e-07, 6.205921583145799e-06,None, None, None
False, [1.0292801099492628e-07], 1.0292801099492628e-07, 1.6544241378973012e-06,[8.079041257385835e-08], 8.079041257385835e-08, 1.3177880118886743e-06
False, [1.414812924511149e-07], 1.414812924511149e-07, 2.229738266319414e-06,[2.1343963218239655e-07], 2.1343963218239655e-07, 3.27687793323356e-06
False, [1.2688020766543336e-07], 1.2688020766543336e-07, 2.013272542973361e-06,[1.1794609910137082e-07], 1.1794609910137082e-07, 1.8800033093856402e-06
False, [2.816697257574358e-07], 2.816697257574358e-07, 4.246784015368145e-06,None, None, None
False, [1.0955372252990656e-07], 1.0955372252990656e-07, 1.7541984795382202e-06,[2.1831843176894616e-07], 2.1831843176894616e-07, 3.346883985341168e-06
True, [1.1736239527490507e-08], 1.1736239527490507e-08, 2.1248453383533586e-07,[0.02620484317408333], 0.02620484317408333, 0.09543308658135895
False, [2.8918385729664604e-07], 2.8918385729664604e-07, 4.352505287670465e-06,None, None, None
False, [1.8467383532677357e-07], 1.8467383532677357e-07, 2.861757260136916e-06,[1.2771519485593454e-07], 1.2771519485593454e-07, 2.025695085561683e-06
